id,age,gender,zip_code,race,name,dob
0,75,female,56012,bronze,Myrta Cremin,1945-05-11
1,92,male,56018,bronze,Marquis Frami,1928-09-10
2,80,female,56020,gold,Laine Maggio,1941-01-31
3,67,male,56012,gold,Julius Gutkowski,1953-10-25
4,83,female,56020,gold,Ciara Morissette,1937-08-08
5,102,male,56014,bronze,Morris Howe,1918-09-30
6,80,male,56017,gold,Ignacio Johnson,1940-04-25
7,75,male,56015,silver,Arthur Bergstrom,1945-06-24
8,72,male,56019,silver,Antonia Anderson,1948-11-10
9,99,female,56016,gold,Ronda Roob,1921-09-16
10,81,female,56018,silver,Gracia Watsica,1939-04-06
11,74,female,56017,gold,Berna Veum,1946-07-23
12,82,female,56020,gold,Tanika Schmitt,1938-05-23
13,69,female,56017,gold,Easter Kozey,1951-06-20
14,79,male,56018,gold,Oswaldo Doyle,1941-09-21
15,71,male,56015,gold,Marc Sauer,1949-08-31
16,66,female,56016,silver,Rozella Ortiz,1954-06-15
17,87,male,56020,silver,Leo Senger,1933-07-02
18,81,female,56017,gold,Paige Effertz,1939-05-11
19,67,male,56017,bronze,Jerold Spinka,1953-12-19
20,93,male,56015,silver,Fredrick Hansen,1927-12-06
21,101,male,56015,gold,Hilton Hickle,1919-09-12
22,65,male,56013,bronze,Abel Runolfsdottir,1956-01-20
23,90,male,56019,bronze,Elmo Dietrich,1930-09-13
24,87,female,56021,gold,Martin Price,1933-05-16
25,97,female,56021,silver,Jadwiga Jacobson,1924-01-07
26,97,male,56012,silver,Ezequiel Runolfsson,1923-12-21
27,73,male,56012,silver,Felton Lubowitz,1947-10-10
28,73,male,56016,silver,Sal Deckow,1947-09-25
29,72,female,56021,gold,Lita Goldner,1948-07-30
30,67,male,56013,silver,Marvin Hammes,1954-02-16
31,87,female,56017,bronze,Jacquiline Gusikowski,1933-07-23
32,88,male,56018,gold,Dick Aufderhar,1932-10-19
33,79,female,56015,silver,Aleen Dare,1941-12-26
34,71,female,56012,gold,Melva Bahringer,1950-01-04
35,79,female,56020,silver,Chung Bednar,1941-11-02
36,85,male,56020,gold,Antone Schuster,1935-06-10
37,66,female,56021,silver,Eleanore Nitzsche,1954-10-16
38,99,male,56021,silver,Kelly Rau,1921-12-13
39,103,male,56018,gold,Wes Kihn,1917-09-13
40,75,female,56013,bronze,Assunta Hackett,1945-09-13
41,82,male,56016,gold,Elisha Auer,1938-08-16
42,88,male,56019,bronze,Rodger D'Amore,1932-08-25
43,73,male,56016,silver,Darrel Paucek,1947-08-24
